Število spletnih nakupov, ki so jih opravili posamezniki v zadnjih 12 mesecih, po vrsti izdelka ali storitve, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;E-NAKUPI  PO VRSTI IZDELKA ALI STORITVE;16–24;25–34;35–44;45–54;55–64;65–74
2012;..Druge izdelke ali storitve;12080;15466;10420;13800;728;1408
2013;Posamezniki – SKUPAJ;196579;293744;299580;307714;285510;183364
2013;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);26401;48574;21127;21863;8065;2248
2013;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);34929;66815;56049;24033;15321;2332
2013;..Zdravila, prehranska dopolnila;6363;8449;5404;12795;5093;1655
2013;..Oblaèila, športno opremo, èevlje;68877;85303;64796;32757;6403;-
2013;..Raèunalniško strojno opremo;25442;47249;18100;17972;8444;1538
2013;..Elektronsko opremo (vkljuèno s kamerami);25884;34247;23351;11709;6460;604
2013;..Telekomunikacijske storitve (npr. naroènine, predplaèniške kartice);6664;17621;18007;8980;3229;-
2013;..Delnice, finanène storitve, zavarovanje;5764;7490;11264;2553;659;-
2013;..Turistiène nastanitvene zmogljivosti;35437;71458;57042;39003;17216;2864
2013;..Potovanja, poèitniško namestitev;-;-;-;-;-;-
2013;..Druge storitve v zvezi z organizacijo potovanj (npr. nakup letalske karte, najem avtomobila);24423;46289;21511;16639;8326;596
2013;..Vstopnice za prireditve;42322;49557;42223;30183;10356;2777
2013;..Filme, glasbo;11525;23688;10782;4876;4930;-
2013;..Knjige, revije, èasopise;15591;49222;31259;14545;7808;-
2013;..Elektronsko uèno gradivo;15748;16137;10487;3094;3594;-
2013;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2013;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;-;-;-;-;-;-
2013;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2013;..Raèunalniške oz. videoigre in posodobitve;15071;16108;17752;4103;793;-
2013;..Drugo raèunalniško programsko opremo in posodobitve;17876;35270;22365;9527;5494;-
2013;..Loterija, stave;-;-;-;-;-;-
2013;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2013;..Druge izdelke ali storitve;9323;7851;9211;6129;4436;-
2014;Posamezniki – SKUPAJ;189357;288715;300949;306781;288598;187351
2014;..Dobrine za vsakdanjo uporabo (npr. hrana, kozmetika);32868;29971;42201;23078;9455;2210
2014;..Dobrine za gospodinjstvo (npr. pohištvo, igraèe, avto, bela tehnika);21573;83563;65140;25009;17433;2723
2014;..Zdravila, prehranska dopolnila;5421;6817;8322;10458;3955;1440
2014;..Oblaèila, športno opremo, èevlje;75410;98598;95501;24205;11336;1976
2014;..Raèunalniško strojno opremo;25163;55059;42555;19102;13936;4386
